Open,High,Low,Close,Adj Close,Volume
8.100000381469727,8.100000381469727,6.0,6.0,6.0,5600
5.5,5.5,5.0,5.0,5.0,11100
5.699999809265137,6.75,5.019999980926514,5.349999904632568,5.349999904632568,8600
5.800000190734863,8.0,5.400000095367432,7.0,7.0,15100
7.650000095367432,9.149999618530273,7.650000095367432,8.699999809265137,8.699999809265137,25400
8.390000343322754,8.524999618530273,6.375,6.375,6.375,11100
7.289999961853027,8.390000343322754,6.25,6.324999809265137,6.324999809265137,29100
6.275000095367432,6.349999904632568,5.0,5.0,5.0,7700
6.0,6.449999809265137,6.0,6.199999809265137,6.199999809265137,12900
6.159999847412109,6.449999809265137,6.105000019073486,6.449999809265137,6.449999809265137,1800
6.324999809265137,7.900000095367432,6.324999809265137,6.675000190734863,6.675000190734863,8000
6.699999809265137,7.199999809265137,5.710000038146973,5.710000038146973,5.710000038146973,21800
6.199999809265137,6.75,6.199999809265137,6.449999809265137,6.449999809265137,1900
6.349999904632568,6.349999904632568,6.224999904632568,6.224999904632568,6.224999904632568,1900
6.195000171661377,6.289999961853027,6.195000171661377,6.289999961853027,6.289999961853027,700
6.28000020980835,6.300000190734863,6.099999904632568,6.28000020980835,6.28000020980835,2700
6.099999904632568,6.199999809265137,5.650000095367432,5.849999904632568,5.849999904632568,4600
6.210000038146973,6.239999771118164,5.965000152587891,6.050000190734863,6.050000190734863,11700
6.150000095367432,6.150000095367432,5.840000152587891,5.840000152587891,5.840000152587891,1800
5.900000095367432,6.0,5.889999866485596,6.0,6.0,7400
7.0,7.0,5.610000133514404,5.829999923706055,5.829999923706055,13400
5.849999904632568,5.949999809265137,5.760000228881836,5.760000228881836,5.760000228881836,23100
5.730000019073486,6.300000190734863,5.599999904632568,5.599999904632568,5.599999904632568,6900
5.550000190734863,5.885000228881836,5.485000133514404,5.5,5.5,4700
5.480000019073486,5.724999904632568,5.46999979019165,5.699999809265137,5.699999809265137,8500
5.610000133514404,5.760000228881836,5.610000133514404,5.699999809265137,5.699999809265137,1400
5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,0
5.84499979019165,6.0,5.610000133514404,5.775000095367432,5.775000095367432,5900
6.800000190734863,6.849999904632568,5.699999809265137,5.900000095367432,5.900000095367432,9500
6.150000095367432,6.190000057220459,5.909999847412109,6.0,6.0,7100
6.099999904632568,6.28000020980835,6.050000190734863,6.150000095367432,6.150000095367432,2600
5.989999771118164,5.989999771118164,5.900000095367432,5.980000019073486,5.980000019073486,3100
5.960000038146973,5.96999979019165,5.909999847412109,5.96999979019165,5.96999979019165,900
5.929999828338623,5.96999979019165,5.599999904632568,5.96999979019165,5.96999979019165,5100
6.0,6.420000076293945,5.480000019073486,6.0,6.0,2500
5.875,6.039999961853027,5.875,5.949999809265137,5.949999809265137,4500
6.03000020980835,6.03000020980835,5.900000095367432,5.945000171661377,5.945000171661377,1000
6.0,6.019999980926514,5.599999904632568,6.019999980926514,6.019999980926514,5100
6.449999809265137,6.449999809265137,5.980000019073486,6.059999942779541,6.059999942779541,15600
6.045000076293945,6.045000076293945,6.010000228881836,6.014999866485596,6.014999866485596,1900
5.940000057220459,5.940000057220459,5.53000020980835,5.53000020980835,5.53000020980835,8400
5.53000020980835,5.900000095367432,5.53000020980835,5.900000095367432,5.900000095367432,1100
6.0,6.210000038146973,5.974999904632568,6.210000038146973,6.210000038146973,15700
6.21999979019165,6.289999961853027,6.010000228881836,6.289999961853027,6.289999961853027,5200
6.349999904632568,6.369999885559082,6.019999980926514,6.329999923706055,6.329999923706055,2700
6.050000190734863,6.295000076293945,6.050000190734863,6.199999809265137,6.199999809265137,11000
6.199999809265137,6.239999771118164,6.175000190734863,6.175000190734863,6.175000190734863,6900
6.239999771118164,6.510000228881836,6.239999771118164,6.329999923706055,6.329999923706055,16700
6.315000057220459,6.599999904632568,6.25,6.474999904632568,6.474999904632568,4400
6.474999904632568,7.050000190734863,6.474999904632568,6.929999828338623,6.929999828338623,22400
6.965000152587891,7.449999809265137,6.949999809265137,7.260000228881836,7.260000228881836,27900
7.21999979019165,7.550000190734863,7.21999979019165,7.21999979019165,7.21999979019165,17800
7.230000019073486,7.920000076293945,7.230000019073486,7.525000095367432,7.525000095367432,31100
7.550000190734863,8.5,7.349999904632568,7.880000114440918,7.880000114440918,68000
8.149999618530273,8.350000381469727,8.050000190734863,8.300000190734863,8.300000190734863,44700
8.380000114440918,8.380000114440918,8.149999618530273,8.199999809265137,8.199999809265137,45500
8.149999618530273,8.210000038146973,7.699999809265137,8.0649995803833,8.0649995803833,36600
8.1899995803833,8.399999618530273,7.75,8.399999618530273,8.399999618530273,28200
8.399999618530273,8.425000190734863,8.220000267028809,8.420000076293945,8.420000076293945,10100
8.369999885559082,8.380000114440918,8.010000228881836,8.300000190734863,8.300000190734863,12900
8.34000015258789,8.345000267028809,8.149999618530273,8.260000228881836,8.260000228881836,8900
8.319999694824219,8.34000015258789,8.104999542236328,8.15999984741211,8.15999984741211,11000
8.15999984741211,8.199999809265137,7.855000019073486,7.900000095367432,7.900000095367432,18600
7.929999828338623,7.989999771118164,7.510000228881836,7.599999904632568,7.599999904632568,10800
7.599999904632568,8.199999809265137,7.599999904632568,8.164999961853027,8.164999961853027,13300
8.15999984741211,8.15999984741211,7.599999904632568,7.989999771118164,7.989999771118164,5100
8.149999618530273,8.234999656677246,7.599999904632568,7.989999771118164,7.989999771118164,10300
7.949999809265137,7.949999809265137,7.599999904632568,7.929999828338623,7.929999828338623,4800
